grid_id,lat,lon,n_campus,n_school,n_market,n_place_of_worship,n_park,n_residential,dominant_zone
898d85d2a4fffff,-8.031680896159967,112.68273408399403,0,0,0,0,0,0,not classified
898d85d0c6fffff,-8.01718545297028,112.66051948878572,0,0,0,0,0,1,residential_area
898d85d03a7ffff,-8.00718683845669,112.68528946456182,0,0,0,0,0,0,not classified
898d85d0e33ffff,-8.007544314694623,112.66633477982977,0,0,0,1,0,1,residential_area
898d85d52bbffff,-7.995517124228444,112.60022192465823,0,1,0,8,0,9,residential_area
898d85d0aabffff,-7.995339325500864,112.65413789629466,0,2,0,8,0,0,worship_area
898d85d5643ffff,-7.997198671564138,112.6212245665768,0,5,1,6,0,2,school_area
898d85c22afffff,-7.947285905776812,112.6293095453253,2,5,0,2,0,4,residential_area
898d85c04cfffff,-7.926568582745465,112.62793665322572,0,2,0,1,0,5,residential_area
898d85c2473ffff,-7.9723354420684815,112.64274229113957,0,1,1,5,2,0,public_area
898d85c2637ffff,-7.959503108171615,112.64151259718372,4,10,0,9,2,0,campus_area
898d85d5103ffff,-8.016309941617594,112.57462955645669,0,0,0,0,0,0,not classified
898d85d0ab7ffff,-8.00117784545234,112.65224648002621,0,0,0,4,0,0,worship_area
898d85d52c7ffff,-7.990827615810559,112.60712808698739,0,2,0,7,0,8,residential_area
898d85d2a5bffff,-8.032828466399446,112.68774346765552,0,0,0,0,0,0,not classified
898d85d726bffff,-8.028690231983717,112.62179452125483,0,1,0,1,0,1,residential_area
898d85c344bffff,-7.92056478383546,112.68374101382035,0,0,0,0,0,0,not classified
898d85d0c7bffff,-8.018334005724352,112.66553038154667,0,0,0,0,0,0,not classified
898d85d548bffff,-8.028426243297753,112.61380177487328,0,0,0,0,0,0,not classified
898d85d03b3ffff,-8.008335340062274,112.69029911028998,0,0,0,0,0,0,not classified
898d85d564fffff,-7.995163698751313,112.61919058330056,0,7,1,7,0,0,school_area
898d85c30b7ffff,-7.925604069063213,112.65787611506563,0,2,0,2,0,3,residential_area
898d85c22bbffff,-7.948437810691971,112.63432338116746,2,5,0,5,0,1,campus_area
898d85c262bffff,-7.953661914395384,112.64340428250505,1,1,0,8,1,0,worship_area
898d85c2d47ffff,-7.975776221963198,112.56889373896593,0,0,0,0,0,0,not classified
898d85c04dbffff,-7.927721337572489,112.6329509123037,0,3,0,0,0,1,school_area
898d85d1a8fffff,-7.949419800511214,112.6932387698532,0,0,0,0,0,0,not classified
898d85c2643ffff,-7.950123488447394,112.6553215305545,0,1,0,2,0,2,residential_area
898d85d510fffff,-8.014274894249752,112.57259438478212,0,0,0,0,0,0,not classified
898d85c2807ffff,-7.962054718747077,112.57064144882253,0,0,0,0,0,0,not classified
898d85d0ac3ffff,-7.991799860600073,112.66605226300885,0,2,0,0,0,0,school_area
898d85d52d3ffff,-7.991978188452565,112.61214246007575,0,2,0,10,0,2,worship_area
898d85d2a67ffff,-8.034336290730518,112.6738010449454,0,0,0,0,0,0,not classified
898d85d7277ffff,-8.034527688540308,112.61990329373305,0,0,0,0,0,0,not classified
898d85c3457ffff,-7.926406802558432,112.68184914778175,0,0,0,0,0,0,not classified
898d85d0c87ffff,-8.034073634631213,112.66581290232646,0,1,0,1,0,0,school_area
898d85c2467ffff,-7.971184641682034,112.6377293329882,0,8,1,6,3,0,school_area
898d85d5497ffff,-8.03426392557734,112.61191054072266,0,0,0,0,0,0,not classified
898d85c2103ffff,-7.969233896254561,112.60873388646048,4,7,0,10,2,3,campus_area
898d85d0e4bffff,-7.996132771024177,112.67810633675005,0,0,0,0,0,1,residential_area
898d85d1a77ffff,-7.940392631783364,112.68808763423645,0,0,0,0,0,0,not classified
898d85d565bffff,-7.996313879895693,112.624204197735,0,3,1,6,1,2,school_area
898d85c04c3ffff,-7.928605767458363,112.62997085245749,0,2,0,2,0,1,school_area
898d85d18d7ffff,-7.968089364390475,112.69257402824059,0,0,0,0,0,0,not classified
898d85c22c7ffff,-7.943747759977888,112.64122866127691,0,6,1,7,1,2,school_area
898d85c2d53ffff,-7.976928086469263,112.5739105359287,0,0,0,0,0,0,not classified
898d85c248bffff,-7.981361145984341,112.64789672161264,0,0,0,8,0,0,worship_area
898d85c264fffff,-7.948087437029938,112.65328819488512,0,2,0,4,0,0,school_area
898d85d090bffff,-8.015244633233346,112.63153562700974,0,0,0,2,0,0,worship_area
898d85c22a3ffff,-7.949322360059662,112.63134356570156,2,5,0,2,0,3,campus_area
898d85d511bffff,-8.015425160418964,112.57761032999856,0,0,0,0,0,0,not classified
898d85c2813ffff,-7.963207097234153,112.57565837518663,0,0,0,0,0,0,not classified
898d85d0acfffff,-7.989765405478278,112.66401951310908,0,2,0,0,0,0,school_area
898d85d18b3ffff,-7.973663372537129,112.68269416862466,0,0,0,0,0,0,not classified
898d85d5637ffff,-8.006577206415036,112.60741386603611,0,3,0,1,0,10,residential_area
898d85d0e27ffff,-8.006395346134047,112.66132375320103,0,0,0,1,1,0,public_area
898d85d2a73ffff,-8.035483917548433,112.6788108942794,0,0,0,0,0,0,not classified
898d85c3463ffff,-7.923218312914251,112.67480476159469,0,0,0,0,0,0,not classified
898d85d0c93ffff,-8.035221417313272,112.67082321181776,0,0,0,0,0,0,not classified
898d85d54a3ffff,-8.031081066983585,112.60486271326562,0,0,0,0,0,0,not classified
898d85c210fffff,-7.967197769858737,112.60669936069984,4,8,0,7,1,3,campus_area
898d85c2b9bffff,-7.953021832702556,112.56548015389939,0,0,0,0,0,0,not classified
898d85d0e57ffff,-8.001970611367275,112.6762149418145,0,0,0,0,0,0,not classified
898d85d5667ffff,-7.997818009853347,112.61025099579949,0,3,0,5,0,5,residential_area
898d85c22d3ffff,-7.9448995902915,112.64624187700771,0,0,0,3,1,0,worship_area
898d85d1aa7ffff,-7.952073887238621,112.68430419292643,0,0,0,0,0,0,not classified
898d85c2497ffff,-7.9872006331118826,112.64600521333792,0,8,0,11,0,0,school_area
898d85d5473ffff,-8.019404678839386,112.60864526576489,0,0,0,0,0,0,not classified
898d85d0c63ffff,-8.019219022506597,112.66255215262947,0,0,0,0,0,0,not classified
898d85c265bffff,-7.949238876275442,112.65830065090506,0,1,0,2,0,2,residential_area
898d85d01d7ffff,-8.023189602337531,112.69355764613758,0,0,0,0,0,0,not classified
898d85c3433ffff,-7.931981362756361,112.67196699150028,0,0,0,0,0,0,not classified
898d85d0917ffff,-8.021082606372307,112.62964432112467,0,0,0,1,0,2,residential_area
898d85d0adbffff,-7.990914988437229,112.66903066296436,0,2,0,0,0,0,school_area
898d85d7253ffff,-8.033906257122522,112.63087442411079,0,1,0,2,0,3,residential_area
898d85d2a43ffff,-8.0337136192381,112.68476601995303,0,0,0,0,0,0,not classified
898d85c346fffff,-7.921181645600131,112.67277179660567,0,0,0,0,0,0,not classified
898d85d54afffff,-8.029046999539892,112.60282849611706,0,0,0,0,0,0,not classified
898d85c0c03ffff,-7.926453923503322,112.5659938698606,0,0,0,0,0,0,not classified
898d85c211bffff,-7.968349291047534,112.61171415186371,3,10,0,11,2,0,school_area
898d85d52afffff,-7.994366476250271,112.59520693256391,0,0,0,0,0,1,residential_area
898d85d0e63ffff,-7.998787535007698,112.66917184318507,0,0,0,0,0,0,not classified
898d85d5673ffff,-7.998968247484616,112.61526507474822,0,7,0,8,0,0,school_area
898d85d1ab3ffff,-7.953224606248886,112.68931481269809,0,0,0,0,0,0,not classified
898d85c24a3ffff,-7.9840154391789016,112.63895918984942,0,4,0,15,0,3,worship_area
898d85c2667ffff,-7.95074121080438,112.64435013847024,0,1,0,7,1,0,worship_area
898d85d0923ffff,-8.017899370951913,112.62259769595978,0,2,0,5,0,4,residential_area
898d85d5133ffff,-8.018079496159606,112.56866778048735,0,0,0,0,0,0,not classified
898d85c282bffff,-7.957980681793181,112.56657007508502,0,0,0,0,0,0,not classified
898d85c347bffff,-7.922333805359456,112.67778358912868,0,0,0,0,0,0,not classified
898d85c0183ffff,-7.927262185441115,112.5899904161805,0,0,0,0,0,0,not classified
898d85d0cabffff,-8.030007515927842,112.66174788892928,0,0,0,0,0,0,not classified
898d85d54bbffff,-8.030196128344008,112.6078424769071,0,0,0,0,0,0,not classified
898d85c2127ffff,-7.969851521955371,112.5977578707453,0,0,0,1,0,2,residential_area
898d85d08dbffff,-8.011348071152682,112.66241079884605,0,0,0,0,1,1,residential_area
898d85d0e6fffff,-7.996753368460176,112.66713922894988,0,0,0,0,0,0,not classified
898d85c050bffff,-7.931606392313995,112.60205789400428,4,3,0,5,0,3,campus_area
898d85c24afffff,-7.9819802924199905,112.63692561959681,0,9,0,16,0,3,school_area
898d85c2673ffff,-7.9518927059860465,112.64936305983292,0,2,0,3,1,0,school_area
