grid_id,lat,lon,n_campus,n_school,n_market,n_place_of_worship,n_park,n_residential,dominant_zone
G0011,-8.02,112.61499999999992,0,1,0,0,0,1,residential_area
G0012,-8.02,112.61949999999992,0,2,0,3,0,3,residential_area
G0013,-8.02,112.62399999999991,0,1,0,3,0,2,residential_area
G0014,-8.02,112.6284999999999,0,0,0,1,0,3,residential_area
G0015,-8.02,112.6329999999999,0,5,0,1,0,1,school_area
G0016,-8.02,112.63749999999989,0,6,0,1,0,0,school_area
G0017,-8.02,112.64199999999988,0,3,0,0,0,1,school_area
G0018,-8.02,112.64649999999988,0,1,0,3,0,3,residential_area
G0019,-8.02,112.65099999999987,0,1,0,2,0,1,residential_area
G0020,-8.02,112.65549999999986,0,0,0,1,0,0,worship_area
G0023,-8.02,112.66899999999984,0,0,0,1,0,0,worship_area
G0039,-8.0155,112.61049999999993,0,0,0,0,0,1,residential_area
G0040,-8.0155,112.61499999999992,0,0,0,0,0,3,residential_area
G0041,-8.0155,112.61949999999992,0,2,0,4,0,3,residential_area
G0042,-8.0155,112.62399999999991,0,0,0,3,0,1,residential_area
G0043,-8.0155,112.6284999999999,0,0,0,1,0,1,residential_area
G0044,-8.0155,112.6329999999999,0,3,0,1,0,0,school_area
G0045,-8.0155,112.63749999999989,0,2,0,2,0,1,school_area
G0046,-8.0155,112.64199999999988,0,1,0,3,0,6,residential_area
G0047,-8.0155,112.64649999999988,0,1,0,1,0,3,residential_area
G0048,-8.0155,112.65099999999987,0,0,0,1,0,1,residential_area
G0049,-8.0155,112.65549999999986,0,0,0,1,0,0,worship_area
G0050,-8.0155,112.65999999999985,0,0,0,0,0,1,residential_area
G0051,-8.0155,112.66449999999985,0,0,0,0,0,1,residential_area
G0067,-8.011,112.60599999999994,0,0,0,0,0,4,residential_area
G0068,-8.011,112.61049999999993,0,2,0,1,0,2,residential_area
G0069,-8.011,112.61499999999992,0,1,0,0,0,1,residential_area
G0070,-8.011,112.61949999999992,1,3,0,3,0,2,school_area
G0071,-8.011,112.62399999999991,0,1,0,2,0,2,residential_area
G0072,-8.011,112.6284999999999,0,1,0,6,0,1,worship_area
G0073,-8.011,112.6329999999999,0,3,0,5,0,0,school_area
G0074,-8.011,112.63749999999989,0,2,0,0,0,5,residential_area
G0075,-8.011,112.64199999999988,0,2,0,3,0,8,residential_area
G0076,-8.011,112.64649999999988,0,3,0,2,0,7,residential_area
G0077,-8.011,112.65099999999987,0,0,0,0,0,3,residential_area
G0078,-8.011,112.65549999999986,0,0,0,0,1,2,residential_area
G0079,-8.011,112.65999999999985,0,0,0,0,1,2,residential_area
G0080,-8.011,112.66449999999985,0,0,0,0,0,1,residential_area
G0094,-8.006499999999999,112.59699999999995,0,0,0,0,0,2,residential_area
G0095,-8.006499999999999,112.60149999999994,0,1,0,0,0,8,residential_area
G0096,-8.006499999999999,112.60599999999994,0,2,0,0,0,10,residential_area
G0097,-8.006499999999999,112.61049999999993,0,2,0,6,0,3,residential_area
G0098,-8.006499999999999,112.61499999999992,0,3,0,10,0,2,worship_area
G0099,-8.006499999999999,112.61949999999992,1,7,0,4,0,2,school_area
G0100,-8.006499999999999,112.62399999999991,1,7,0,5,0,3,school_area
G0101,-8.006499999999999,112.6284999999999,0,5,0,8,0,1,school_area
G0102,-8.006499999999999,112.6329999999999,0,3,0,6,0,0,school_area
G0103,-8.006499999999999,112.63749999999989,0,2,0,4,0,3,residential_area
G0104,-8.006499999999999,112.64199999999988,0,5,0,4,0,6,residential_area
G0105,-8.006499999999999,112.64649999999988,0,4,0,1,0,7,residential_area
G0106,-8.006499999999999,112.65099999999987,0,0,0,0,0,2,residential_area
G0107,-8.006499999999999,112.65549999999986,0,0,0,0,0,1,residential_area
G0108,-8.006499999999999,112.65999999999985,0,0,0,1,1,1,residential_area
G0110,-8.006499999999999,112.66899999999984,0,0,0,1,0,1,residential_area
G0111,-8.006499999999999,112.67349999999983,0,0,0,0,0,1,residential_area
G0123,-8.001999999999999,112.59699999999995,0,0,0,0,0,2,residential_area
G0124,-8.001999999999999,112.60149999999994,0,0,0,2,0,5,residential_area
G0125,-8.001999999999999,112.60599999999994,0,0,0,1,0,11,residential_area
G0126,-8.001999999999999,112.61049999999993,0,3,0,6,0,4,residential_area
G0127,-8.001999999999999,112.61499999999992,0,4,0,9,0,1,worship_area
G0128,-8.001999999999999,112.61949999999992,0,4,0,6,0,3,residential_area
G0129,-8.001999999999999,112.62399999999991,0,1,0,4,0,3,residential_area
G0130,-8.001999999999999,112.6284999999999,0,5,0,4,0,0,school_area
G0131,-8.001999999999999,112.6329999999999,0,8,1,5,0,0,school_area
G0132,-8.001999999999999,112.63749999999989,0,6,1,8,0,3,school_area
G0133,-8.001999999999999,112.64199999999988,0,5,0,7,0,5,residential_area
G0134,-8.001999999999999,112.64649999999988,0,4,0,3,0,3,residential_area
G0135,-8.001999999999999,112.65099999999987,0,0,0,2,0,2,residential_area
G0136,-8.001999999999999,112.65549999999986,0,0,0,8,0,0,worship_area
G0137,-8.001999999999999,112.65999999999985,0,0,0,8,0,0,worship_area
G0138,-8.001999999999999,112.66449999999985,0,0,0,6,0,0,worship_area
G0139,-8.001999999999999,112.66899999999984,0,0,0,1,0,0,worship_area
G0152,-7.997499999999999,112.59699999999995,0,0,0,1,0,1,residential_area
G0153,-7.997499999999999,112.60149999999994,0,0,0,6,0,12,residential_area
G0154,-7.997499999999999,112.60599999999994,0,0,0,2,0,13,residential_area
G0155,-7.997499999999999,112.61049999999993,0,3,0,5,0,5,residential_area
G0156,-7.997499999999999,112.61499999999992,0,6,0,12,0,0,school_area
G0157,-7.997499999999999,112.61949999999992,0,5,1,6,0,2,school_area
G0158,-7.997499999999999,112.62399999999991,0,2,1,6,0,2,residential_area
G0159,-7.997499999999999,112.6284999999999,0,2,0,1,0,0,school_area
G0160,-7.997499999999999,112.6329999999999,0,7,1,8,0,0,school_area
G0161,-7.997499999999999,112.63749999999989,0,7,1,11,0,2,school_area
G0162,-7.997499999999999,112.64199999999988,0,3,0,5,0,4,residential_area
G0163,-7.997499999999999,112.64649999999988,0,0,1,6,0,3,residential_area
G0164,-7.997499999999999,112.65099999999987,0,2,0,8,0,1,worship_area
G0165,-7.997499999999999,112.65549999999986,0,0,0,9,0,0,worship_area
G0166,-7.997499999999999,112.65999999999985,0,1,0,6,0,0,worship_area
G0167,-7.997499999999999,112.66449999999985,0,0,0,5,0,0,worship_area
G0171,-7.997499999999999,112.68249999999982,0,0,0,0,0,2,residential_area
G0172,-7.997499999999999,112.68699999999981,0,0,0,0,0,1,residential_area
G0180,-7.9929999999999986,112.59249999999996,0,0,0,2,0,0,worship_area
G0181,-7.9929999999999986,112.59699999999995,0,1,0,1,0,4,residential_area
G0182,-7.9929999999999986,112.60149999999994,0,2,0,9,0,14,residential_area
G0183,-7.9929999999999986,112.60599999999994,0,2,0,7,0,15,residential_area
G0184,-7.9929999999999986,112.61049999999993,0,3,0,6,0,4,residential_area
G0185,-7.9929999999999986,112.61499999999992,0,5,0,12,0,0,worship_area
G0186,-7.9929999999999986,112.61949999999992,1,11,1,7,0,0,school_area
G0187,-7.9929999999999986,112.62399999999991,1,9,0,3,2,0,school_area
G0188,-7.9929999999999986,112.6284999999999,0,10,2,4,2,0,school_area
G0189,-7.9929999999999986,112.6329999999999,0,20,2,8,0,0,school_area
G0190,-7.9929999999999986,112.63749999999989,0,10,0,9,0,0,school_area
G0191,-7.9929999999999986,112.64199999999988,0,5,0,6,0,0,school_area
G0192,-7.9929999999999986,112.64649999999988,0,10,1,8,0,1,school_area
G0193,-7.9929999999999986,112.65099999999987,0,11,0,7,0,1,school_area
G0194,-7.9929999999999986,112.65549999999986,0,0,0,5,1,0,worship_area
G0195,-7.9929999999999986,112.65999999999985,0,1,0,1,0,0,school_area
G0196,-7.9929999999999986,112.66449999999985,0,2,0,1,0,0,school_area
G0197,-7.9929999999999986,112.66899999999984,0,1,0,0,0,0,school_area
G0199,-7.9929999999999986,112.67799999999983,0,0,0,0,0,1,residential_area
G0200,-7.9929999999999986,112.68249999999982,0,0,0,0,0,3,residential_area
G0201,-7.9929999999999986,112.68699999999981,0,0,0,0,0,1,residential_area
G0208,-7.988499999999998,112.58799999999997,0,0,0,2,0,2,residential_area
G0209,-7.988499999999998,112.59249999999996,0,1,0,6,0,1,worship_area
G0210,-7.988499999999998,112.59699999999995,0,4,0,9,0,4,residential_area
G0211,-7.988499999999998,112.60149999999994,0,4,0,11,0,10,residential_area
G0212,-7.988499999999998,112.60599999999994,0,2,0,10,0,10,residential_area
G0213,-7.988499999999998,112.61049999999993,0,3,0,9,0,2,worship_area
G0214,-7.988499999999998,112.61499999999992,0,7,0,10,0,1,school_area
G0215,-7.988499999999998,112.61949999999992,2,8,0,9,0,0,school_area
G0216,-7.988499999999998,112.62399999999991,3,14,0,8,0,0,school_area
G0217,-7.988499999999998,112.6284999999999,1,18,1,12,1,0,school_area
G0218,-7.988499999999998,112.6329999999999,0,17,4,13,0,0,school_area
G0219,-7.988499999999998,112.63749999999989,0,6,1,11,0,0,school_area
G0220,-7.988499999999998,112.64199999999988,0,3,0,11,0,0,worship_area
G0221,-7.988499999999998,112.64649999999988,0,13,0,13,0,0,school_area
G0222,-7.988499999999998,112.65099999999987,0,8,0,6,1,0,school_area
G0223,-7.988499999999998,112.65549999999986,0,1,0,5,1,1,worship_area
G0224,-7.988499999999998,112.65999999999985,0,1,0,2,0,0,school_area
G0225,-7.988499999999998,112.66449999999985,0,2,0,0,0,0,school_area
G0227,-7.988499999999998,112.67349999999983,0,0,0,0,0,2,residential_area
G0228,-7.988499999999998,112.67799999999983,0,0,0,0,0,2,residential_area
G0229,-7.988499999999998,112.68249999999982,0,0,0,0,0,2,residential_area
G0230,-7.988499999999998,112.68699999999981,0,0,0,0,0,2,residential_area
G0236,-7.983999999999998,112.58349999999997,0,0,0,1,0,0,worship_area
G0237,-7.983999999999998,112.58799999999997,0,0,0,4,0,2,residential_area
G0238,-7.983999999999998,112.59249999999996,0,0,0,6,0,4,residential_area
G0239,-7.983999999999998,112.59699999999995,0,2,0,10,0,3,worship_area
G0240,-7.983999999999998,112.60149999999994,0,5,0,16,0,9,residential_area
G0241,-7.983999999999998,112.60599999999994,0,6,1,18,0,5,worship_area
G0242,-7.983999999999998,112.61049999999993,0,10,2,18,0,0,school_area
G0243,-7.983999999999998,112.61499999999992,2,12,1,10,0,1,school_area
G0244,-7.983999999999998,112.61949999999992,2,2,1,9,0,1,campus_area
G0245,-7.983999999999998,112.62399999999991,1,11,1,17,0,0,school_area
G0246,-7.983999999999998,112.6284999999999,1,15,0,18,1,0,school_area
G0247,-7.983999999999998,112.6329999999999,0,10,1,18,1,0,school_area
G0248,-7.983999999999998,112.63749999999989,0,4,1,19,0,3,worship_area
G0249,-7.983999999999998,112.64199999999988,0,4,0,10,0,2,worship_area
G0250,-7.983999999999998,112.64649999999988,0,3,0,8,0,0,worship_area
G0251,-7.983999999999998,112.65099999999987,0,1,0,8,0,1,worship_area
G0252,-7.983999999999998,112.65549999999986,0,2,0,7,0,1,worship_area
G0253,-7.983999999999998,112.65999999999985,0,1,0,4,0,1,worship_area
G0254,-7.983999999999998,112.66449999999985,0,0,0,1,0,1,residential_area
G0255,-7.983999999999998,112.66899999999984,0,0,0,1,0,1,residential_area
G0256,-7.983999999999998,112.67349999999983,0,0,0,0,0,3,residential_area
G0257,-7.983999999999998,112.67799999999983,0,0,0,0,0,2,residential_area
G0258,-7.983999999999998,112.68249999999982,0,1,0,0,0,1,residential_area
G0259,-7.983999999999998,112.68699999999981,0,3,0,1,0,0,school_area
G0260,-7.983999999999998,112.6914999999998,0,1,0,1,0,0,school_area
G0266,-7.979499999999998,112.58799999999997,0,0,0,1,0,0,worship_area
G0267,-7.979499999999998,112.59249999999996,0,0,0,1,0,1,residential_area
G0268,-7.979499999999998,112.59699999999995,1,0,0,4,0,3,residential_area
G0269,-7.979499999999998,112.60149999999994,1,3,0,10,0,6,residential_area
G0270,-7.979499999999998,112.60599999999994,0,4,0,10,0,10,residential_area
G0271,-7.979499999999998,112.61049999999993,1,9,1,14,1,4,school_area
G0272,-7.979499999999998,112.61499999999992,2,6,1,13,1,2,worship_area
G0273,-7.979499999999998,112.61949999999992,2,4,1,13,0,1,worship_area
G0274,-7.979499999999998,112.62399999999991,2,10,1,18,0,0,school_area
G0275,-7.979499999999998,112.6284999999999,2,17,2,18,1,0,school_area
G0276,-7.979499999999998,112.6329999999999,1,14,1,15,4,0,school_area
G0277,-7.979499999999998,112.63749999999989,0,5,0,9,3,3,school_area
G0278,-7.979499999999998,112.64199999999988,0,2,0,6,0,0,worship_area
G0279,-7.979499999999998,112.64649999999988,0,1,0,7,0,0,worship_area
G0280,-7.979499999999998,112.65099999999987,0,1,0,8,0,0,worship_area
G0281,-7.979499999999998,112.65549999999986,0,4,0,10,0,0,worship_area
G0282,-7.979499999999998,112.65999999999985,0,4,0,7,0,1,school_area
G0283,-7.979499999999998,112.66449999999985,1,2,1,3,0,1,campus_area
G0284,-7.979499999999998,112.66899999999984,1,2,0,4,0,1,campus_area
G0285,-7.979499999999998,112.67349999999983,0,1,0,1,0,0,school_area
G0286,-7.979499999999998,112.67799999999983,0,0,0,1,0,0,worship_area
G0287,-7.979499999999998,112.68249999999982,0,1,0,0,0,0,school_area
G0288,-7.979499999999998,112.68699999999981,0,3,0,1,0,0,school_area
