name,lon,lat,category
Mutiara Residence,112.6039322,-7.9954757,residential
Puncak Buring Indah,112.6526416,-8.0115104,residential
Prima Ragil Permai I,112.6607177,-7.9813912,residential
Griya Shanta,112.6218779,-7.9389319,residential
Perumahan Sumpil Residence,112.6444943,-7.9320988,residential
Regency One,112.597922,-7.978144,residential
Permata Pulosari,112.647508,-7.9342852,residential
Perumahan Cengger Ayam,112.6305043,-7.9454414,residential
Joyogreen Regency,112.587639,-7.9376953,residential
Joyogreen Regency,112.5865291,-7.9376114,residential
Galaxy Regency,112.6074987,-7.9326594,residential
Graha Pelita Sigura-Gura,112.6068748,-7.9557999,residential
Grand Aleena,112.5733793,-7.9392403,residential
Perum Pesona Ikan Tombro,112.6334988,-7.9220278,residential
Perum Puri Kartika Asri Puskopad,112.63261,-7.9215874,residential
Pondok Blimbing Indah,112.6556529,-7.9364611,residential
Araya,112.6703581,-7.9376272,residential
CitraGarden Malang,112.65648,-8.0091479,residential
D'Rich Garden,112.6701781,-8.0063429,residential
Bukit Indah Permai I,112.6834617,-7.9957451,residential
Bukit Indah Permai,112.6821944,-7.9945152,residential
de Cassablanca Residence,112.6776239,-7.9845227,residential
Oma View Atas,112.6763364,-7.9872251,residential
The Sanata Village,112.6826303,-7.9887248,residential
Oma View,112.6832576,-7.9872917,residential
Riverfront Urban Resort,112.6684374,-7.9834442,residential
Bulan Terang Utama,112.6737803,-7.9866848,residential
Ijen Nirwana Residence,112.6173404,-7.9795919,residential
Sunflower Regency,112.6021686,-7.9823617,residential
Villa Dieng Residence,112.6055815,-7.9765631,residential
Istana Dieng,112.6020246,-7.9779553,residential
Sapta Royal Park,112.6048944,-7.9806753,residential
Bukit Dieng Regency,112.5961674,-7.9752487,residential
Delta Dieng,112.6044637,-7.9694025,residential
Taman Dieng,112.6073229,-7.971302,residential
Alam Dieng Residence,112.607284,-7.9764434,residential
Greenland,112.5949292,-7.9507989,residential
Pondok Cempaka Indah,112.6046519,-7.9919457,residential
DeGreen Cempaka Indah,112.6040176,-7.992212,residential
The Village,112.6008604,-7.9877445,residential
Mulyorejo Residence,112.6013988,-7.9909732,residential
Bandulan Regency,112.6009382,-7.9909381,residential
Perumahan V Brawijaya,112.6059046,-7.9801788,residential
Griyo Muslim,112.6021935,-7.9947531,residential
Perum LPK I,112.6033939,-7.9936643,residential
Safe Garden,112.6035537,-7.9929869,residential
Casa Lavenia,112.6012437,-7.993773,residential
Pondok Indah Mulyorejo Mandiri,112.5985668,-7.9895345,residential
Bandulan Permai,112.6047049,-7.9849867,residential
Royal Regency,112.6014607,-7.9876916,residential
De Rumah,112.6200649,-7.9566282,residential
Griya Sejahtera LPK III,112.5995317,-7.9956887,residential
Taman Graha Mulyorejo,112.6022665,-7.987097,residential
Graha Dewata Estate,112.5767957,-7.934827,residential
Garden Palma Inside,112.6134599,-7.9357641,residential
de Salvia Residence,112.6114334,-7.9896668,residential
Griya Tirta Aji,112.604479,-8.0035031,residential
Bumi Emas Residence,112.60486,-8.004011,residential
Griya Tanjung Priok Jaya,112.6053013,-8.0058727,residential
Terra Regency Kebonsari,112.6099367,-8.0117407,residential
The Green Sukun,112.6089063,-8.0110474,residential
Morse Recency Sukun,112.605544,-7.9942483,residential
Greenleaf Residence,112.6041024,-7.9967086,residential
Greenleaf 2 Residence,112.6043107,-7.9969636,residential
De Family,112.6045642,-7.9972755,residential
Perumahan Sukun Pondok Indah,112.6085807,-7.9979882,residential
Rafflesia Regency,112.607154,-7.9985812,residential
Grand Samawa,112.6060289,-8.0045637,residential
Surya Indah Regency,112.606312,-8.0047032,residential
Puri Nirwana Janti,112.6221846,-8.0055377,residential
Perum PNS Tlogomas,112.5924816,-7.9381671,residential
Hill Park Regency,112.5920504,-7.9754879,residential
Green Living Residence,112.6255175,-8.0207818,residential
Gadang Regency,112.6259335,-8.018489,residential
Dieng Inside,112.6070943,-7.9916549,residential
Griya Intan Regency,112.608276,-7.9919705,residential
Perumahan ASN Bandulan,112.607458,-7.9919354,residential
Perumahan Dinas Politeknik,112.5966928,-7.9419512,residential
Joyo Grand Inside,112.5903639,-7.943669,residential
Joyo Land Town House,112.592307,-7.9428891,residential
Perumahan Uniga,112.5914346,-7.9434518,residential
Joyo Grand,112.5945778,-7.9432951,residential
Dieng Flower,112.603904,-7.9802365,residential
Bukit Dieng Permai,112.6001365,-7.9742819,residential
Green Palm,112.615931,-7.9823154,residential
Citramas Raya,112.5881196,-7.9532787,residential
Northfield,112.6049859,-7.9754423,residential
Viqui Residence,112.6065483,-7.9748397,residential
Griya Pesona Asri,112.6079465,-7.9783184,residential
Metro Residence,112.6087418,-7.9788663,residential
Bandulan Asri,112.6082861,-7.9790087,residential
Permata Intan Agung,112.597139,-7.9831383,residential
Mulya Garden,112.5946168,-7.9835795,residential
Grand Alam Jingga,112.6009439,-7.9434148,residential
Pesona Bougenville,112.6015441,-7.9440159,residential
Dinoyo Royal Park,112.6030067,-7.9393034,residential
Dieng Townhouse,112.6089895,-7.9749505,residential
Griya Mulyorejo,112.6026308,-7.9875671,residential
Perum Taman Mulyorejo,112.6029183,-7.9875039,residential
Graha Merjosari Asri,112.6015721,-7.9473926,residential
Puncak Dieng Eksklusif,112.5972266,-7.9704007,residential
Pine Hill,112.5937684,-7.9547813,residential
Villa Puncak Tidar,112.5902526,-7.9609362,residential
Emerald Garden,112.6340468,-8.0305958,residential
Wonowaru Residence,112.6504975,-8.0333082,residential
Puri Cempaka Putih 3,112.6410651,-8.0273649,residential
Puri Cempaka Putih 2,112.64043,-8.0299117,residential
Puri Cempaka Putih 1,112.6405862,-8.0342556,residential
Puri Taman Agung,112.638879,-8.0364612,residential
Puri Diva Residence,112.6395299,-8.0368316,residential
Haris Land,112.6397804,-8.0368659,residential
Rajasa Residence,112.6375878,-8.0261221,residential
Graha Agung,112.5924721,-7.9458309,residential
Amany Land,112.6408615,-7.9981048,residential
Griya Harmony Residence,112.6400589,-7.9994844,residential
Mutiara Garden,112.6475361,-8.0005227,residential
Buring Indah Regency III,112.646092,-8.0069153,residential
Grand Mumtaz Residence,112.6462224,-8.0061551,residential
Perumahan Dinas LP Wanita Malang,112.6188559,-8.017566,residential
Kebonsari Regency,112.619282,-8.0161641,residential
Tirtasari Residence,112.6171125,-8.0130993,residential
Graha Kartika,112.6026836,-8.0065435,residential
Grand Tanjung Priok,112.6053258,-8.0085043,residential
Griya Tanjung Priok Jaya 2,112.6000329,-8.0036083,residential
Griya Bakalan Asri,112.6033119,-8.0048319,residential
The Aksha Residence,112.5986343,-8.0050898,residential
