venue_name,lat,lon,zone,day_name,day_hours,hour,busyness_score
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,4,13
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,5,22
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,6,37
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,7,55
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,8,74
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,9,89
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,10,95
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,11,93
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,12,84
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,13,76
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,14,69
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,15,66
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,16,67
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,17,73
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,18,79
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,19,81
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,20,76
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,21,61
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,22,44
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,23,28
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,0,15
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,1,7
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,2,5
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,sunday,6,3,6
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,4,4
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,5,7
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,6,14
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,7,23
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,8,32
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,9,41
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,10,47
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,11,49
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,12,50
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,13,47
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,14,45
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,15,43
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,16,43
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,17,44
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,18,44
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,19,44
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,20,43
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,21,38
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,22,31
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,23,22
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,0,12
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,1,6
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,2,3
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,monday,0,3,3
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,4,4
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,5,7
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,6,14
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,7,23
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,8,32
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,9,40
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,10,46
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,11,49
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,12,49
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,13,47
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,14,44
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,15,44
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,16,47
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,17,52
Alun-alun Kota Malang,-7.9826144999999995,112.63081129999999,public_area,tuesday,1,18,56
